,x_ego,y_ego,yaw_rad_ego,v_mps_ego,acc_mpss_ego,width_ego,length_ego,locationPoint2Head_ego,locationPoint2Rear_ego,x_1,y_1,yaw_rad_1,v_mps_1,acc_mpss_1,width_1,length_1,locationPoint2Head_1,locationPoint2Rear_1,x_2,y_2,yaw_rad_2,v_mps_2,acc_mpss_2,width_2,length_2,locationPoint2Head_2,locationPoint2Rear_2,end
4.300000000000001,939.4143,2147.3593,1.74,8.0,-0.0,6.7,13.4,9.8,3.8,906.9344,2285.276,4.9688,4.1911,0.0712,1.947,5.416,2.708,2.708,951.7412,2098.8711,1.7772,4.5027,0.366,1.947,5.416,2.708,2.708,-1.0
4.4,939.2795,2148.1479,1.7361,8.0,0.0,6.7,13.4,9.8,3.8,907.045,2284.868,4.9643,4.2291,0.0695,1.947,5.416,2.708,2.708,951.6638,2099.3221,1.7779,4.5778,0.3623,1.947,5.416,2.708,2.708,-1.0
4.5,939.1479,2148.937,1.7322,8.0,-0.0,6.7,13.4,9.8,3.8,907.1518,2284.4621,4.9617,4.1992,0.0728,1.947,5.416,2.708,2.708,951.5859,2099.7716,1.7806,4.5639,0.3623,1.947,5.416,2.708,2.708,-1.0
4.6,939.0194,2149.7266,1.7283,8.0,0.0,6.7,13.4,9.8,3.8,907.2461,2284.052,4.959,4.2094,0.0734,1.947,5.416,2.708,2.708,951.4994,2100.2193,1.7813,4.5613,0.3653,1.947,5.416,2.708,2.708,-1.0
4.699999999999999,938.8939,2150.5167,1.7246,8.0,-0.0,6.7,13.4,9.8,3.8,907.3385,2283.6393,4.9553,4.2307,0.0811,1.947,5.416,2.708,2.708,951.4096,2100.6703,1.7794,4.6004,0.3648,1.947,5.416,2.708,2.708,-1.0
4.799999999999999,938.7714,2151.3073,1.7208,8.0,0.0,6.7,13.4,9.8,3.8,907.4362,2283.2276,4.9538,4.2335,0.0966,1.947,5.416,2.708,2.708,951.3142,2101.1261,1.7788,4.6588,0.3594,1.947,5.416,2.708,2.708,-1.0
4.899999999999999,938.6518,2152.0983,1.7172,8.0,0.0,6.7,13.4,9.8,3.8,907.5409,2282.8179,4.9516,4.2299,0.1091,1.947,5.416,2.708,2.708,951.2124,2101.5895,1.7802,4.7466,0.3489,1.947,5.416,2.708,2.708,-1.0
4.999999999999998,938.5351,2152.8897,1.7136,8.0,0.0,6.7,13.4,9.8,3.8,907.6429,2282.4054,4.9517,4.2508,0.1288,1.947,5.416,2.708,2.708,951.117,2102.0544,1.7798,4.7472,0.3338,1.947,5.416,2.708,2.708,-1.0
5.099999999999998,938.4213,2153.6816,1.71,8.0,0.0,6.7,13.4,9.8,3.8,907.7513,2281.9882,4.9483,4.3123,0.1476,1.947,5.416,2.708,2.708,951.0303,2102.5187,1.7836,4.7254,0.3146,1.947,5.416,2.708,2.708,-1.0
5.1999999999999975,938.3102,2154.4738,1.7066,8.0,0.0,6.7,13.4,9.8,3.8,907.8565,2281.5633,4.9432,4.3797,0.161,1.947,5.416,2.708,2.708,950.9407,2102.9882,1.7822,4.7816,0.2935,1.947,5.416,2.708,2.708,-1.0
5.299999999999997,938.202,2155.2665,1.7032,8.0,0.0,6.7,13.4,9.8,3.8,907.95,2281.1366,4.9426,4.3701,0.1771,1.947,5.416,2.708,2.708,950.8508,2103.4618,1.7801,4.8232,0.2578,1.947,5.416,2.708,2.708,-1.0
5.399999999999997,938.0964,2156.0595,1.6999,8.0,0.0,6.7,13.4,9.8,3.8,908.0378,2280.7022,4.9402,4.4329,0.2042,1.947,5.416,2.708,2.708,950.7612,2103.931,1.7829,4.7783,0.2143,1.947,5.416,2.708,2.708,-1.0
5.4999999999999964,937.9934,2156.8528,1.6966,8.0,0.0,6.7,13.4,9.8,3.8,908.1326,2280.2705,4.9369,4.4221,0.2329,1.947,5.416,2.708,2.708,950.6638,2104.3949,1.7876,4.7419,0.1752,1.947,5.416,2.708,2.708,-1.0
5.599999999999996,937.893,2157.6465,1.6934,8.0,0.0,6.7,13.4,9.8,3.8,908.235,2279.8415,4.9375,4.412,0.2448,1.947,5.416,2.708,2.708,950.5598,2104.8594,1.7846,4.7624,0.1455,1.947,5.416,2.708,2.708,-1.0
5.699999999999996,937.7951,2158.4405,1.6903,8.0,0.0,6.7,13.4,9.8,3.8,908.347,2279.4083,4.9344,4.4758,0.246,1.947,5.416,2.708,2.708,950.4654,2105.3166,1.7878,4.6706,0.1149,1.947,5.416,2.708,2.708,-1.0
5.799999999999995,937.6997,2159.2348,1.6873,8.0,0.0,6.7,13.4,9.8,3.8,908.4602,2278.9646,4.9329,4.5809,0.2517,1.947,5.416,2.708,2.708,950.366,2105.7772,1.7881,4.714,0.0773,1.947,5.416,2.708,2.708,-1.0
5.899999999999995,937.6067,2160.0293,1.6844,8.0,0.0,6.7,13.4,9.8,3.8,908.5606,2278.5165,4.9319,4.594,0.256,1.947,5.416,2.708,2.708,950.2702,2106.2422,1.7875,4.7497,0.0441,1.947,5.416,2.708,2.708,-1.0
5.999999999999995,937.516,2160.8242,1.6815,8.0,0.0,6.7,13.4,9.8,3.8,908.6456,2278.0733,4.9341,4.5149,0.26,1.947,5.416,2.708,2.708,950.1863,2106.711,1.7892,4.7644,0.0172,1.947,5.416,2.708,2.708,-1.0
6.099999999999994,937.4277,2161.6193,1.6787,8.0,0.0,6.7,13.4,9.8,3.8,908.7321,2277.6258,4.9288,4.5604,0.2613,1.947,5.416,2.708,2.708,950.0955,2107.1767,1.7882,4.7459,-0.003,1.947,5.416,2.708,2.708,-1.0
6.199999999999994,937.3415,2162.4146,1.676,8.0,0.0,6.7,13.4,9.8,3.8,908.8182,2277.1698,4.9245,4.6418,0.2531,1.947,5.416,2.708,2.708,949.9886,2107.6337,1.7908,4.6959,-0.0041,1.947,5.416,2.708,2.708,-1.0
6.299999999999994,937.2575,2163.2102,1.6734,8.0,0.0,6.7,13.4,9.8,3.8,908.9096,2276.7114,4.9237,4.6762,0.2377,1.947,5.416,2.708,2.708,949.8692,2108.087,1.7904,4.6893,-0.0044,1.947,5.416,2.708,2.708,-1.0
6.399999999999993,937.1755,2164.006,1.6708,8.0,0.0,6.7,13.4,9.8,3.8,909.0122,2276.2558,4.9221,4.6724,0.2254,1.947,5.416,2.708,2.708,949.7701,2108.5426,1.7923,4.6646,-0.0111,1.947,5.416,2.708,2.708,-1.0
6.499999999999993,937.0956,2164.802,1.6684,8.0,0.0,6.7,13.4,9.8,3.8,909.1148,2275.8032,4.9167,4.642,0.2208,1.947,5.416,2.708,2.708,949.6776,2109.0031,1.794,4.6987,-0.0133,1.947,5.416,2.708,2.708,-1.0
6.5999999999999925,937.0177,2165.5982,1.666,8.0,0.0,6.7,13.4,9.8,3.8,909.2099,2275.3507,4.9224,4.6263,0.2211,1.947,5.416,2.708,2.708,949.5851,2109.4681,1.7954,4.7425,-0.0084,1.947,5.416,2.708,2.708,-1.0
6.699999999999992,936.9417,2166.3946,1.6637,8.0,0.0,6.7,13.4,9.8,3.8,909.2948,2274.8889,4.9212,4.6967,0.2098,1.947,5.416,2.708,2.708,949.4937,2109.9302,1.7971,4.7124,0.0054,1.947,5.416,2.708,2.708,-1.0
6.799999999999992,936.8675,2167.1911,1.6614,8.0,0.0,6.7,13.4,9.8,3.8,909.3829,2274.4218,4.9186,4.7554,0.1962,1.947,5.416,2.708,2.708,949.3929,2110.3873,1.801,4.683,0.0167,1.947,5.416,2.708,2.708,-1.0
6.8999999999999915,936.7951,2167.9878,1.6593,8.0,0.0,6.7,13.4,9.8,3.8,909.476,2273.9588,4.917,4.725,0.187,1.947,5.416,2.708,2.708,949.2842,2110.8506,1.7976,4.7608,0.0232,1.947,5.416,2.708,2.708,-1.0
6.999999999999991,936.7244,2168.7847,1.6572,8.0,0.0,6.7,13.4,9.8,3.8,909.568,2273.4897,4.9137,4.7818,0.1898,1.947,5.416,2.708,2.708,949.169,2111.3155,1.7958,4.7912,0.0345,1.947,5.416,2.708,2.708,-1.0
7.099999999999991,936.6554,2169.5817,1.6552,8.0,0.0,6.7,13.4,9.8,3.8,909.6665,2273.0272,4.9144,4.731,0.2035,1.947,5.416,2.708,2.708,949.0623,2111.7832,1.7977,4.7988,0.0464,1.947,5.416,2.708,2.708,-1.0
7.19999999999999,936.5879,2170.3789,1.6533,8.0,0.0,6.7,13.4,9.8,3.8,909.761,2272.5585,4.9125,4.7827,0.2044,1.947,5.416,2.708,2.708,948.969,2112.2482,1.7959,4.7445,0.0573,1.947,5.416,2.708,2.708,-1.0
7.29999999999999,936.522,2171.1762,1.6514,8.0,0.0,6.7,13.4,9.8,3.8,909.8483,2272.0848,4.9142,4.8191,0.2049,1.947,5.416,2.708,2.708,948.8803,2112.7089,1.7976,4.6933,0.0674,1.947,5.416,2.708,2.708,-1.0
7.39999999999999,936.4576,2171.9736,1.6497,8.0,0.0,6.7,13.4,9.8,3.8,909.9293,2271.6042,4.9131,4.8757,0.2058,1.947,5.416,2.708,2.708,948.78,2113.1782,1.7952,4.801,0.0711,1.947,5.416,2.708,2.708,-1.0
7.499999999999989,936.3946,2172.7711,1.648,8.0,0.0,6.7,13.4,9.8,3.8,910.017,2271.1207,4.9078,4.9163,0.2004,1.947,5.416,2.708,2.708,948.6665,2113.6484,1.7972,4.8395,0.0764,1.947,5.416,2.708,2.708,-1.0
7.599999999999989,936.3329,2173.5687,1.6463,8.0,0.0,6.7,13.4,9.8,3.8,910.115,2270.6479,4.9123,4.83,0.1973,1.947,5.416,2.708,2.708,948.5483,2114.1142,1.7969,4.8078,0.0832,1.947,5.416,2.708,2.708,-1.0
7.699999999999989,936.2725,2174.3664,1.6448,8.0,0.0,6.7,13.4,9.8,3.8,910.2237,2270.1661,4.9066,4.9413,0.1951,1.947,5.416,2.708,2.708,948.436,2114.5792,1.7983,4.7849,0.0945,1.947,5.416,2.708,2.708,-1.0
7.799999999999988,936.2134,2175.1642,1.6433,8.0,0.0,6.7,13.4,9.8,3.8,910.3231,2269.6849,4.9057,4.916,0.2027,1.947,5.416,2.708,2.708,948.3414,2115.0511,1.7992,4.8148,0.1097,1.947,5.416,2.708,2.708,-1.0
7.899999999999988,936.1554,2175.9621,1.6419,8.0,0.0,6.7,13.4,9.8,3.8,910.4117,2269.2021,4.9104,4.9106,0.1956,1.947,5.416,2.708,2.708,948.2499,2115.5312,1.8002,4.8898,0.1166,1.947,5.416,2.708,2.708,-1.0
7.999999999999988,936.0986,2176.7601,1.6406,8.0,0.0,6.7,13.4,9.8,3.8,910.4894,2268.7179,4.9112,4.9055,0.1803,1.947,5.416,2.708,2.708,948.1568,2116.0132,1.8021,4.9107,0.1213,1.947,5.416,2.708,2.708,-1.0
8.099999999999987,936.0428,2177.5582,1.6393,8.0,0.0,6.7,13.4,9.8,3.8,910.5656,2268.2289,4.9126,4.9517,0.1633,1.947,5.416,2.708,2.708,948.0484,2116.4907,1.8021,4.8982,0.1323,1.947,5.416,2.708,2.708,-1.0
8.199999999999987,935.988,2178.3563,1.6381,8.0,0.0,6.7,13.4,9.8,3.8,910.6556,2267.7294,4.9055,5.0768,0.1442,1.947,5.416,2.708,2.708,947.9256,2116.9624,1.8033,4.8764,0.1458,1.947,5.416,2.708,2.708,-1.0
8.299999999999986,935.9342,2179.1545,1.637,8.0,0.0,6.7,13.4,9.8,3.8,910.7568,2267.2442,4.9085,4.9588,0.1314,1.947,5.416,2.708,2.708,947.8027,2117.4366,1.8032,4.9012,0.16,1.947,5.416,2.708,2.708,-1.0
8.399999999999986,935.8813,2179.9527,1.6359,8.0,0.0,6.7,13.4,9.8,3.8,910.8612,2266.7579,4.9047,4.9757,0.1166,1.947,5.416,2.708,2.708,947.6995,2117.9216,1.8051,4.9599,0.1731,1.947,5.416,2.708,2.708,-1.0
8.499999999999986,935.8293,2180.751,1.6349,8.0,0.0,6.7,13.4,9.8,3.8,910.9533,2266.2775,4.9096,4.8938,0.1119,1.947,5.416,2.708,2.708,947.603,2118.4123,1.8055,5.0027,0.1789,1.947,5.416,2.708,2.708,-1.0
8.599999999999985,935.778,2181.5494,1.634,8.0,0.0,6.7,13.4,9.8,3.8,911.0442,2265.7883,4.9089,4.9776,0.1064,1.947,5.416,2.708,2.708,947.5008,2118.9001,1.8098,4.9861,0.1787,1.947,5.416,2.708,2.708,-1.0
8.699999999999985,935.7275,2182.3478,1.6331,8.0,0.0,6.7,13.4,9.8,3.8,911.1318,2265.2958,4.9046,5.004,0.089,1.947,5.416,2.708,2.708,947.3993,2119.392,1.8085,5.0251,0.1735,1.947,5.416,2.708,2.708,-1.0
8.799999999999985,935.6777,2183.1462,1.6323,8.0,0.0,6.7,13.4,9.8,3.8,911.2166,2264.8091,4.9026,4.9422,0.0765,1.947,5.416,2.708,2.708,947.2812,2119.8879,1.8073,5.0996,0.1705,1.947,5.416,2.708,2.708,-1.0
8.899999999999984,935.6286,2183.9447,1.6315,8.0,0.0,6.7,13.4,9.8,3.8,911.306,2264.3146,4.9037,5.027,0.0645,1.947,5.416,2.708,2.708,947.1601,2120.3796,1.8061,5.0657,0.1709,1.947,5.416,2.708,2.708,-1.0
8.999999999999984,935.5801,2184.7432,1.6308,8.0,0.0,6.7,13.4,9.8,3.8,911.3984,2263.8213,4.9046,5.0206,0.0637,1.947,5.416,2.708,2.708,947.0387,2120.8678,1.8099,5.0336,0.1705,1.947,5.416,2.708,2.708,-1.0
9.099999999999984,935.5321,2185.5418,1.6301,8.0,0.0,6.7,13.4,9.8,3.8,911.4962,2263.3283,4.8999,5.0282,0.0549,1.947,5.416,2.708,2.708,946.9357,2121.3557,1.8131,4.9882,0.1652,1.947,5.416,2.708,2.708,-1.0
9.199999999999983,935.4847,2186.3404,1.6295,8.0,0.0,6.7,13.4,9.8,3.8,911.594,2262.8388,4.8972,4.994,0.039,1.947,5.416,2.708,2.708,946.8263,2121.8486,1.8157,5.0504,0.1529,1.947,5.416,2.708,2.708,-1.0
9.299999999999983,935.4377,2187.139,1.629,8.0,0.0,6.7,13.4,9.8,3.8,911.6779,2262.3479,4.9008,4.982,0.0287,1.947,5.416,2.708,2.708,946.7218,2122.3505,1.8159,5.1295,0.1335,1.947,5.416,2.708,2.708,-1.0
9.399999999999983,935.3912,2187.9377,1.6285,8.0,0.0,6.7,13.4,9.8,3.8,911.7606,2261.8555,4.8994,4.9955,0.0119,1.947,5.416,2.708,2.708,946.6095,2122.8531,1.8139,5.152,0.1207,1.947,5.416,2.708,2.708,-1.0
9.499999999999982,935.3451,2188.7363,1.628,8.0,0.0,6.7,13.4,9.8,3.8,911.8519,2261.3688,4.8943,4.9534,-0.0091,1.947,5.416,2.708,2.708,946.4917,2123.3481,1.8138,5.0899,0.1117,1.947,5.416,2.708,2.708,-1.0
9.599999999999982,935.2993,2189.535,1.6276,8.0,0.0,6.7,13.4,9.8,3.8,911.9427,2260.8835,4.8949,4.9392,-0.0339,1.947,5.416,2.708,2.708,946.3674,2123.8402,1.815,5.0781,0.1088,1.947,5.416,2.708,2.708,-1.0
9.699999999999982,935.2538,2190.3337,1.6273,8.0,0.0,6.7,13.4,9.8,3.8,912.0268,2260.3964,4.8951,4.9459,-0.0528,1.947,5.416,2.708,2.708,946.2478,2124.3362,1.8154,5.1041,0.1055,1.947,5.416,2.708,2.708,-1.0
9.799999999999981,935.2087,2191.1325,1.627,8.0,0.0,6.7,13.4,9.8,3.8,912.1091,2259.91,4.8908,4.9351,-0.0649,1.947,5.416,2.708,2.708,946.125,2124.8357,1.816,5.1452,0.0836,1.947,5.416,2.708,2.708,-1.0
9.89999999999998,935.1637,2191.9312,1.6267,8.0,0.0,6.7,13.4,9.8,3.8,912.1862,2259.426,4.887,4.9023,-0.0695,1.947,5.416,2.708,2.708,946.0088,2125.3331,1.8181,5.1103,0.0559,1.947,5.416,2.708,2.708,-1.0
